source_i,source_j,absolute_tensor_correlation,mechanism_distance
SRC008,SRC046,0.90865015,0.09134985
SRC008,SRC047,0.62125062,0.37874938
SRC008,SRC048,0.68836562,0.31163438
SRC008,SRC049,0.77896621,0.22103379
SRC008,SRC050,0.23844840,0.76155160
SRC009,SRC010,0.13911888,0.86088112
SRC009,SRC011,0.42110923,0.57889077
SRC009,SRC012,0.74043037,0.25956963
SRC009,SRC013,0.35041918,0.64958082
SRC009,SRC014,0.48299405,0.51700595
SRC009,SRC015,0.82856416,0.17143584
SRC009,SRC016,0.47187160,0.52812840
SRC009,SRC017,0.50014777,0.49985223
SRC009,SRC018,0.50379173,0.49620827
SRC009,SRC019,0.34463884,0.65536116
SRC009,SRC020,0.37604317,0.62395683
SRC009,SRC021,0.99751719,0.00248281
SRC009,SRC022,0.24265374,0.75734626
SRC009,SRC023,0.41055804,0.58944196
SRC009,SRC024,0.34036486,0.65963514
SRC009,SRC025,0.62996732,0.37003268
SRC009,SRC026,0.15148215,0.84851785
SRC009,SRC027,0.57257447,0.42742553
SRC009,SRC028,0.05818575,0.94181425
SRC009,SRC029,0.81302290,0.18697710
SRC009,SRC030,0.32292125,0.67707875
SRC009,SRC031,0.47137277,0.52862723
SRC009,SRC032,0.68393807,0.31606193
SRC009,SRC033,0.64656416,0.35343584
SRC009,SRC034,0.71278031,0.28721969
SRC009,SRC035,0.27087765,0.72912235
SRC009,SRC036,0.85247384,0.14752616
SRC009,SRC037,0.82865758,0.17134242
SRC009,SRC038,0.03405216,0.96594784
SRC009,SRC039,0.88201756,0.11798244
SRC009,SRC040,0.40509518,0.59490482
SRC009,SRC041,0.05639455,0.94360545
SRC009,SRC042,0.20513998,0.79486002
SRC009,SRC043,0.82254792,0.17745208
SRC009,SRC044,0.08875589,0.91124411
SRC009,SRC045,0.42536408,0.57463592
SRC009,SRC046,0.49752938,0.50247062
SRC009,SRC047,0.01610341,0.98389659
SRC009,SRC048,0.44633228,0.55366772
SRC009,SRC049,0.51126638,0.48873362
SRC009,SRC050,0.10204201,0.89795799
SRC010,SRC011,0.18237903,0.81762097
SRC010,SRC012,0.30095746,0.69904254
SRC010,SRC013,0.12750162,0.87249838
SRC010,SRC014,0.15627624,0.84372376
SRC010,SRC015,0.37430780,0.62569220
SRC010,SRC016,0.01119020,0.98880980
SRC010,SRC017,0.04140961,0.95859039
SRC010,SRC018,0.48575380,0.51424620
SRC010,SRC019,0.15894186,0.84105814
SRC010,SRC020,0.15663298,0.84336702
SRC010,SRC021,0.08798000,0.91202000
SRC010,SRC022,0.73847783,0.26152217
SRC010,SRC023,0.84346771,0.15653229
SRC010,SRC024,0.29511719,0.70488281
SRC010,SRC025,0.54536155,0.45463845
SRC010,SRC026,0.27079586,0.72920414
SRC010,SRC027,0.83436712,0.16563288
SRC010,SRC028,0.67889541,0.32110459
SRC010,SRC029,0.60405319,0.39594681
SRC010,SRC030,0.22099152,0.77900848
SRC010,SRC031,0.77556340,0.22443660
SRC010,SRC032,0.07045318,0.92954682
SRC010,SRC033,0.17844641,0.82155359
SRC010,SRC034,0.59406710,0.40593290
SRC010,SRC035,0.19637298,0.80362702
SRC010,SRC036,0.03030655,0.96969345
SRC010,SRC037,0.24206441,0.75793559
SRC010,SRC038,0.40861833,0.59138167
SRC010,SRC039,0.19752465,0.80247535
SRC010,SRC040,0.62710346,0.37289654
SRC010,SRC041,0.38601434,0.61398566
SRC010,SRC042,0.95775983,0.04224017
SRC010,SRC043,0.07366088,0.92633912
SRC010,SRC044,0.86167036,0.13832964
SRC010,SRC045,0.68706325,0.31293675
SRC010,SRC046,0.69628398,0.30371602
SRC010,SRC047,0.98222159,0.01777841
SRC010,SRC048,0.21574337,0.78425663
