event_id,depth_bin_km,mechanism_class,candidate_quantile_index,radiation_score,selection_rank,selected,A_P_rms_proxy,A_P_near_node_fraction,A_S_rms_proxy,A_S_near_node_fraction,B_P_rms_proxy,B_P_near_node_fraction,B_S_rms_proxy,B_S_near_node_fraction,C_P_rms_proxy,C_P_near_node_fraction,C_S_rms_proxy,C_S_near_node_fraction
C200703080503A,70-150,strike_slip,124,2.20997374,10,false,0.17816178,0.00000000,0.31891248,0.00000000,0.24674401,0.00000000,0.41102125,0.00000000,0.38435655,0.00000000,0.67077766,0.00000000
C202511271711A,70-150,strike_slip,10,2.08121270,11,false,0.32675641,0.00000000,0.49550541,0.00000000,0.32803321,0.00000000,0.63983816,0.00000000,0.10953949,0.00000000,0.18154001,0.00000000
C202305211545A,70-150,strike_slip,3,1.76602553,12,false,0.17682337,0.00000000,0.21638024,0.00000000,0.06760526,0.16470588,0.65291936,0.00000000,0.55085588,0.00000000,0.43085319,0.00000000
C202312201211A,70-150,strike_slip,88,1.70290313,13,false,0.16986025,0.00000000,0.52164096,0.00000000,0.08678563,0.00000000,0.15656289,0.05882353,0.38307426,0.00000000,0.50262619,0.00000000
C201405010636A,70-150,strike_slip,95,1.56853913,14,false,0.05281401,0.64705882,0.49832488,0.00000000,0.31836359,0.00000000,0.70844538,0.00000000,0.57564246,0.00000000,0.70906646,0.00000000
C201403131706A,70-150,strike_slip,31,1.29441950,15,false,0.09779942,0.16470588,0.62989699,0.00000000,0.67616769,0.00000000,0.57921322,0.00000000,0.07448381,0.52352941,0.61332895,0.00000000
C201103061432A,70-150,strike_slip,60,1.18426769,16,false,0.15609955,0.11764706,0.77033813,0.00000000,0.04389080,0.76470588,0.65922979,0.00000000,0.78469365,0.00000000,0.53472165,0.00000000
C010198B,70-150,strike_slip,46,0.03292320,17,false,0.08455546,0.11764706,0.52913841,0.00000000,0.02990121,0.92941176,0.36914472,0.00000000,0.54119623,0.00000000,0.57310481,0.00000000
C201407081256A,70-150,strike_slip,81,-0.19687890,18,false,0.01860027,0.95294118,0.51322409,0.00000000,0.21399950,0.00000000,0.19683532,0.00000000,0.43681203,0.00000000,0.32953224,0.00000000
C040300D,70-150,strike_slip,131,-0.26465248,19,false,0.14137957,0.00000000,0.43025128,0.00000000,0.21963868,0.00000000,0.38678299,0.00000000,0.03974980,0.82352941,0.16460402,0.00000000
C202012101319A,70-150,strike_slip,24,-0.33182089,20,false,0.04413849,0.72941176,0.61239040,0.00000000,0.72636408,0.00000000,0.60813150,0.00000000,0.05729027,0.77058824,0.61986437,0.00000000
C013191B,70-150,thrust,76,4.73828055,1,true,0.80929875,0.00000000,0.96887849,0.00000000,0.24892489,0.00000000,1.11028597,0.00000000,0.75358169,0.00000000,0.84731077,0.00000000
C202408252329A,70-150,thrust,36,4.71410859,2,false,0.62792922,0.00000000,1.06807390,0.00000000,0.68915986,0.00000000,1.02600221,0.00000000,0.32300598,0.05882353,1.09758447,0.00000000
C102900C,70-150,thrust,25,3.99233525,3,false,0.95282826,0.00000000,0.48176421,0.00000000,0.70198390,0.00000000,0.76592508,0.00000000,0.38507046,0.00000000,0.70476335,0.00000000
C200604300817A,70-150,thrust,87,3.92403429,4,false,0.73232226,0.00000000,0.66883475,0.00000000,0.95305039,0.00000000,0.30506266,0.00000000,0.72972226,0.00000000,0.53504197,0.00000000
C202201030209A,70-150,thrust,70,3.81502038,5,false,0.47711308,0.00000000,0.88178348,0.00000000,0.85308855,0.00000000,0.38837271,0.00000000,0.96576980,0.00000000,0.24889276,0.00000000
B080492E,70-150,thrust,31,3.73433261,6,false,0.13651515,0.00000000,0.99440825,0.00000000,0.78336193,0.00000000,0.50837343,0.00000000,0.87976081,0.00000000,0.43191304,0.00000000
C202309281440A,70-150,thrust,93,3.52645665,7,false,0.39233357,0.00000000,0.89873478,0.00000000,0.99627170,0.00000000,0.21668314,0.10588235,0.75506002,0.00000000,0.47913813,0.00000000
C202107232048A,70-150,thrust,64,3.49402430,8,false,0.47273315,0.00000000,0.59408960,0.00000000,0.48475089,0.00000000,0.73224943,0.00000000,0.96916767,0.00000000,0.24103357,0.00000000
C202005061353A,70-150,thrust,53,3.29726979,9,false,0.53080534,0.00000000,0.45512685,0.00000000,0.16836079,0.00000000,0.95184881,0.00000000,0.91933577,0.00000000,0.27179222,0.00000000
C202505031251A,70-150,thrust,59,3.27893305,10,false,0.59444944,0.00000000,0.44039523,0.00000000,0.86716223,0.00000000,0.34110183,0.00000000,0.17109634,0.00000000,0.86472798,0.00000000
C012504B,70-150,thrust,104,2.89046894,11,false,0.34678740,0.00000000,0.45845779,0.00000000,0.81926264,0.00000000,0.32786559,0.00000000,0.15066569,0.00000000,0.78742982,0.00000000
C201908241551A,70-150,thrust,81,2.83247982,12,false,0.22594024,0.00000000,0.62086876,0.00000000,0.46565277,0.00000000,0.55090333,0.00000000,0.30562534,0.00000000,0.66348939,0.00000000
B100400E,70-150,thrust,48,2.74638083,13,false,0.64994245,0.00000000,0.33383352,0.00000000,0.76282492,0.00000000,0.16269149,0.10588235,0.16328425,0.00000000,0.88556890,0.00000000
C200912260857A,70-150,thrust,8,2.59386073,14,false,0.75176678,0.00000000,0.51586267,0.00000000,0.05761806,0.25882353,0.91120279,0.00000000,0.50479597,0.00000000,0.37026152,0.00000000
C053190A,70-150,thrust,19,2.58122562,15,false,0.56700947,0.00000000,0.22402133,0.00000000,0.47961787,0.00000000,0.45444523,0.00000000,0.55713782,0.00000000,0.29899390,0.00000000
