run_id,source_id,stage,baseline_pair_id,source_depth_km,strike_deg,dip_deg,rake_deg,m0_dyne_cm,nchunks,nex_xi,nex_eta,nproc_xi,nproc_eta,oceans,ellipticity,topography,gravity,rotation,attenuation,absorbing_conditions,dt_s,record_length_minutes,expected_nstep,expected_npts,station_count,n_ulvz,scratch_path,execution_order,input_hash,preflight_status,body1_instance_id,body1_sector,body1_position_id,body1_latitude_deg,body1_longitude_deg,body1_radius_km,body1_thickness_km,body1_dVs_percent,body1_dVp_percent,body1_dRho_percent,body1_lateral_taper_km,body1_top_taper_km,body2_instance_id,body2_sector,body2_position_id,body2_latitude_deg,body2_longitude_deg,body2_radius_km,body2_thickness_km,body2_dVs_percent,body2_dVp_percent,body2_dRho_percent,body2_lateral_taper_km,body2_top_taper_km,body3_instance_id,body3_sector,body3_position_id,body3_latitude_deg,body3_longitude_deg,body3_radius_km,body3_thickness_km,body3_dVs_percent,body3_dVp_percent,body3_dRho_percent,body3_lateral_taper_km,body3_top_taper_km
SRC006_B0,SRC006,stage1_baseline,SRC006_B0,14.0000,350.0,44.0,-87.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC006_B0/DATABASES_MPI/,6,772c976e3c411788571771a7bcfe161620a60ab28c96758099cfebc91b620110,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC006_TRIULVZ,SRC006,stage2_multi,SRC006_B0,14.0000,350.0,44.0,-87.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC006_TRIULVZ/DATABASES_MPI/,56,66e1b458cfdca37cb08820de90c1598c76db2ea170a4e6593033b7006e7984b0,PASS,ULVZ014,A,A_G04,0.00000000,55.50000000,400.0000,15.0000,-25.0000,-10.0000,0.0000,0.0000,0.0000,ULVZ140,B,B_G07,-41.29820323,-35.04531474,655.0000,28.3824,-20.0000,0.0000,0.0000,0.0000,0.0000,ULVZ093,C,C_G03,38.91690376,-27.78430053,240.0000,17.0455,-27.0455,0.0000,0.0000,0.0000,0.0000
SRC007_B0,SRC007,stage1_baseline,SRC007_B0,14.2000,100.0,19.0,32.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC007_B0/DATABASES_MPI/,7,30d18aa9359b6a0c508b6f111901ee051ab6e6999babf0abcb1a014988aadd0c,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC007_TRIULVZ,SRC007,stage2_multi,SRC007_B0,14.2000,100.0,19.0,32.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC007_TRIULVZ/DATABASES_MPI/,57,f9e25a348104f540f344132e65abc039b727893be4b389c8495e86859d2939f8,PASS,ULVZ119,A,A_G06,0.00000000,62.50000000,220.4412,11.4706,-28.5294,0.0000,0.0000,0.0000,0.0000,ULVZ009,B,B_G06,-50.19019001,-43.84549898,655.0000,50.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,ULVZ047,C,C_G03,38.91690376,-27.78430053,240.0000,15.0000,-22.2727,0.0000,0.0000,0.0000,0.0000
SRC008_B0,SRC008,stage1_baseline,SRC008_B0,15.0000,237.0,49.0,-16.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC008_B0/DATABASES_MPI/,8,b4a3d00f3426dc3f589e7ab66e5a42c73b3694f5892dc395a616567df51dca65,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC008_TRIULVZ,SRC008,stage2_multi,SRC008_B0,15.0000,237.0,49.0,-16.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC008_TRIULVZ/DATABASES_MPI/,58,710315b31426a4235f06f1d5606559c905234f3ecbcbe2380686f7fa52b13a6c,PASS,ULVZ146,A,A_G02,0.50000000,52.50000000,655.0000,40.7353,-20.0000,0.0000,0.0000,0.0000,0.0000,ULVZ013,B,B_G06,-50.19019001,-43.84549898,400.0000,15.0000,-25.0000,-10.0000,0.0000,0.0000,0.0000,ULVZ016,C,C_G02,43.05301016,-33.58525590,240.0000,15.0000,-10.0000,0.0000,0.0000,0.0000,0.0000
SRC009_B0,SRC009,stage1_baseline,SRC009_B0,15.0000,342.0,40.0,-93.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC009_B0/DATABASES_MPI/,9,0b78de2e028a3b86f8572925d44da9c61d28b5a60cbc178012c47ea6d9680510,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC009_TRIULVZ,SRC009,stage2_multi,SRC009_B0,15.0000,342.0,40.0,-93.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC009_TRIULVZ/DATABASES_MPI/,59,c4ce399fcd88a7900cd3c8df529f4f91beb37ffcc5532f7f4949cde54addd79f,PASS,ULVZ008,A,A_G01,-0.50000000,49.50000000,655.0000,50.0000,-20.0000,0.0000,0.0000,0.0000,0.0000,ULVZ083,B,B_G01,-40.85466479,-30.83981523,240.0000,12.5000,-22.5000,0.0000,0.0000,0.0000,0.0000,ULVZ023,C,C_G08,39.86439939,-33.21280998,240.0000,50.0000,-30.0000,0.0000,0.0000,0.0000,0.0000
SRC010_B0,SRC010,stage1_baseline,SRC010_B0,15.0000,280.0,7.0,75.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,0,/scratch/yiy/ulvz/SRC010_B0/DATABASES_MPI/,10,9656f74ea479a4b3dfa93491e47162d2126f3677a955ad644ecf6fa8dbb71785,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC010_TRIULVZ,SRC010,stage2_multi,SRC010_B0,15.0000,280.0,7.0,75.0,1.00000000e+26,6,448,448,8,8,.false.,.true.,.false.,.true.,.true.,.true.,.false.,0.1,42,25400,25400,510,3,/scratch/yiy/ulvz/SRC010_TRIULVZ/DATABASES_MPI/,60,13f52e936c10c83b980209260e3e29cbcd8b70178928e683e2c06a7b07de9920,PASS,ULVZ059,A,A_G01,-0.50000000,49.50000000,400.0000,15.0000,-25.0000,-2.3864,0.0000,0.0000,0.0000,ULVZ123,B,B_G04,-45.53792330,-36.03605854,285.1471,13.8235,-26.1765,0.0000,0.0000,0.0000,0.0000,ULVZ136,C,C_G07,44.71634893,-30.05173316,655.0000,20.1471,-20.0000,0.0000,0.0000,0.0000,0.0000
