run_id,source_id,stage,run_kind,baseline_pair_id,n_ulvz,composition_summary,station_count,expected_trace_count,expected_npts,scratch_database_path,execution_order,run_relative_path,par_file_sha256,cmtsolution_sha256,stations_sha256,ulvz_file_sha256
SRC017_B0,SRC017,stage1_baseline,baseline,SRC017_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC017_B0/DATABASES_MPI/,17,production_inputs/SRC017_B0,bd5e50696c81c6f55dc81b331d1b9eba612f5cce154993397bac18f339395220,f5813182140efb3fe6dce7af71caebe8ffbf3138239c7bd1719d92a29dd74294,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC017_TRIULVZ,SRC017,stage2_multi,tri_ulvz,SRC017_B0,3,A:ULVZ018:legacy_parameter_anchor;B:ULVZ086:family_interpolant;C:ULVZ020:legacy_parameter_anchor,510,1530,25400,/scratch/yiy/ulvz/SRC017_TRIULVZ/DATABASES_MPI/,67,production_inputs/SRC017_TRIULVZ,74a32df2d145cc631ce9a54cace04e2c072d823575971981b2f8d293e7574175,f5813182140efb3fe6dce7af71caebe8ffbf3138239c7bd1719d92a29dd74294,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,a93fffac1c8bb46bd05b9f28a000fed3037d08893233b5a799bbe85ea1f94364
SRC018_B0,SRC018,stage1_baseline,baseline,SRC018_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC018_B0/DATABASES_MPI/,18,production_inputs/SRC018_B0,be8057a9e30f012615534c10b9a244e547bbb0efb74928b106587ed95d4930a3,8e5d2e7c57acbe4b356bdf5a8a15d33f682ef2214c358f738350ec584859242d,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC018_TRIULVZ,SRC018,stage2_multi,tri_ulvz,SRC018_B0,3,A:ULVZ072:family_interpolant;B:ULVZ043:family_interpolant;C:ULVZ063:family_interpolant,510,1530,25400,/scratch/yiy/ulvz/SRC018_TRIULVZ/DATABASES_MPI/,68,production_inputs/SRC018_TRIULVZ,4a42acfb1d812d1a8a70522a42a618e54f8c24456705385d6825cffe8db23c99,8e5d2e7c57acbe4b356bdf5a8a15d33f682ef2214c358f738350ec584859242d,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,3c19674c968fc324b791d67e9eb4272a5ecca6ee8288cf2526814f8cc9c510b6
SRC019_B0,SRC019,stage1_baseline,baseline,SRC019_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC019_B0/DATABASES_MPI/,19,production_inputs/SRC019_B0,d18fa5a256944b9d6b35247718fbb64307de38aed29d6cccbdbb6d53d70bff5a,c7f01907ddf305af0d3e27a8ce18b15ce8afe70ded9690b3b86e81d243160118,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC019_TRIULVZ,SRC019,stage2_multi,tri_ulvz,SRC019_B0,3,A:ULVZ017:legacy_parameter_anchor;B:ULVZ045:family_interpolant;C:ULVZ095:family_interpolant,510,1530,25400,/scratch/yiy/ulvz/SRC019_TRIULVZ/DATABASES_MPI/,69,production_inputs/SRC019_TRIULVZ,de76d25ee857b7a0225a2571bf7e4fac2353a614cd0d21eca58d3130d4d5b67a,c7f01907ddf305af0d3e27a8ce18b15ce8afe70ded9690b3b86e81d243160118,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,63e64834d606511ed18a86c1888c1d11a078f93e9c833731a1de4a71b74f14fa
SRC020_B0,SRC020,stage1_baseline,baseline,SRC020_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC020_B0/DATABASES_MPI/,20,production_inputs/SRC020_B0,5c744c43be7870e6178a129f35a4b2db81ab8eb056ca7792511695d5eef32a2d,79b183492a45a3c49d5ce35567c13a5a2f98a5dfc3c6e56f5fcf99bdf84de51d,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC020_TRIULVZ,SRC020,stage2_multi,tri_ulvz,SRC020_B0,3,A:ULVZ056:family_interpolant;B:ULVZ135:survey_family_sample;C:ULVZ134:survey_family_sample,510,1530,25400,/scratch/yiy/ulvz/SRC020_TRIULVZ/DATABASES_MPI/,70,production_inputs/SRC020_TRIULVZ,b78ee6dfbf1cf6941b00671083d6f21fc228c77f47b7db2c56b94b6d0653e3e0,79b183492a45a3c49d5ce35567c13a5a2f98a5dfc3c6e56f5fcf99bdf84de51d,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,c6c634d161d1b806f8124645ca6b432e992d13a5a7b4ecbedbdd5141f828b03b
SRC021_B0,SRC021,stage1_baseline,baseline,SRC021_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC021_B0/DATABASES_MPI/,21,production_inputs/SRC021_B0,adc6322e48e9059ce440117aa0a34078526b9c9cf7d68f95dbf1618f85a13d87,3fc0e075dc6cb7bc7fd37fe268b1b266b05dd1f9e825bb0eba9f80ecf3f0aa72,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC021_TRIULVZ,SRC021,stage2_multi,tri_ulvz,SRC021_B0,3,A:ULVZ117:survey_family_sample;B:ULVZ031:legacy_parameter_anchor;C:ULVZ080:family_interpolant,510,1530,25400,/scratch/yiy/ulvz/SRC021_TRIULVZ/DATABASES_MPI/,71,production_inputs/SRC021_TRIULVZ,8f2dd8c964c25ab9aa8c42d8c9f60fe7ae3f9426ce1152aa255a842574b93306,3fc0e075dc6cb7bc7fd37fe268b1b266b05dd1f9e825bb0eba9f80ecf3f0aa72,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,66c30d9daa1cc23137cd473181ae6ae0c6f9c2eaffef3e155d76115febb740a2
SRC022_B0,SRC022,stage1_baseline,baseline,SRC022_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC022_B0/DATABASES_MPI/,22,production_inputs/SRC022_B0,0cfc02c2cc3513b54f8bc73b5bc3bd7e175cdf60b68f874bbcf883b6b012a9c5,40c888246e582e734fd81daff1119167b060ceb6f551708257989aff6233fa3e,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
SRC022_TRIULVZ,SRC022,stage2_multi,tri_ulvz,SRC022_B0,3,A:ULVZ141:survey_family_sample;B:ULVZ105:survey_family_sample;C:ULVZ022:legacy_parameter_anchor,510,1530,25400,/scratch/yiy/ulvz/SRC022_TRIULVZ/DATABASES_MPI/,72,production_inputs/SRC022_TRIULVZ,95ba37715f05d67995bf8703cd5822bf3bfb88c5dc926b263ad552b02f7f7f81,40c888246e582e734fd81daff1119167b060ceb6f551708257989aff6233fa3e,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,e12fa08e712b824792b31c826afb47cb0f9de906204beafe14e54aea97cef53d
SRC023_B0,SRC023,stage1_baseline,baseline,SRC023_B0,0,,510,1530,25400,/scratch/yiy/ulvz/SRC023_B0/DATABASES_MPI/,23,production_inputs/SRC023_B0,1bdcf3133bc000d67361476abb970171a81abd180aac0e8e34e89489aa13461f,e95804d346e868dd4fa590c39154ba58ea68d183f5afca3afb261366c48f438e,9c77668ad5b48343f80b4a18e54eb1eda8189b6dc545ff7e295424f02de82428,08eb49ee92c7297a30a31c019f788344e3b8b91c2acc059ad119f9e0f7e37891
